Level,LamaBekerja,PendidikanTerakhir,Sanksi,Kinerja,Loyalitas,HAV,Konfirmasi Atasan,Bonus
11,58,8.0,0,4.59,3.85,1,1,0
10,36,-1.0,0,4.57,3.85,1,1,0
10,35,-1.0,1,4.86,3.08,1,1,1
14,48,8.0,0,4.0,3.0,1,1,0
10,35,6.0,0,4.56,3.23,1,1,0
10,34,8.0,0,4.56,4.0,1,1,0
10,49,-1.0,0,4.65,3.92,1,1,0
10,49,6.0,0,4.55,3.92,1,1,0
10,33,-1.0,0,3.87,2.54,4,1,0
10,33,8.0,0,4.7,4.0,1,1,0
10,32,8.0,0,4.54,3.38,1,1,0
13,32,8.0,0,3.81,3.08,1,1,0
10,31,8.0,0,4.72,3.62,1,1,0
12,31,8.0,0,4.55,3.38,1,1,0
11,31,8.0,0,4.65,3.92,1,1,0
13,31,8.0,0,3.79,3.23,3,1,0
11,30,8.0,0,4.62,3.69,1,1,0
12,29,8.0,0,4.65,3.54,1,1,0
14,28,8.0,0,3.88,3.23,1,1,0
10,28,6.0,0,4.68,4.0,1,1,0
10,26,8.0,0,4.75,3.77,1,1,0
14,25,8.0,0,3.97,3.0,1,1,0
10,25,8.0,0,4.86,3.38,1,1,0
10,23,8.0,0,4.58,4.0,1,1,0
12,22,8.0,0,3.87,3.69,1,1,0
13,22,8.0,0,3.82,3.77,1,1,0
10,22,8.0,0,4.71,4.0,1,1,0
13,19,8.0,0,3.8,3.23,1,1,0
11,18,8.0,0,3.78,3.15,3,1,0
12,18,8.0,0,3.82,3.0,1,1,0
13,16,8.0,0,3.82,3.31,3,1,0
16,349,8.0,0,2.45,4.0,2,2,1
12,337,-1.0,0,3.67,3.23,2,2,0
14,327,8.0,0,3.2,3.54,2,2,1
17,318,8.0,0,3.37,3.69,2,2,1
17,316,8.0,0,3.77,3.92,2,2,1
18,315,8.0,0,4.01,3.69,2,2,0
17,313,-1.0,0,3.45,3.54,2,2,1
18,310,8.0,0,4.11,3.38,2,2,0
15,255,8.0,0,3.11,3.62,2,2,1
17,252,8.0,0,3.72,3.0,2,2,0
16,244,8.0,0,3.74,3.0,2,2,0
16,242,-1.0,0,2.99,4.0,2,2,1
14,240,8.0,0,3.68,3.62,2,2,1
16,239,8.0,0,3.91,3.62,2,2,1
10,235,-1.0,0,3.34,3.92,2,2,1
15,235,6.0,0,3.35,3.69,2,2,1
16,234,8.0,0,3.66,3.85,2,2,1
17,227,8.0,0,3.49,3.62,4,2,1
14,224,8.0,0,3.26,3.92,2,2,1
15,224,8.0,0,2.64,3.92,2,2,1
15,221,8.0,0,3.0,3.69,2,2,1
16,220,8.0,0,3.28,3.77,2,2,1
16,219,8.0,0,3.72,3.15,2,2,0
17,219,8.0,0,3.75,3.92,2,2,1
16,218,8.0,0,3.58,3.62,2,2,1
14,217,6.0,0,3.69,3.0,2,2,0
15,217,8.0,0,3.75,3.77,2,2,1
15,209,8.0,0,3.18,3.54,2,2,1
17,206,8.0,0,3.27,3.77,2,2,1
14,205,8.0,0,3.27,3.92,2,2,1
17,204,8.0,0,3.52,3.0,2,2,1
15,203,8.0,0,3.15,3.77,2,2,1
16,202,8.0,0,3.43,4.0,2,2,1
16,202,8.0,0,3.49,3.85,2,2,1
14,201,8.0,1,2.71,3.92,2,2,1
16,201,8.0,0,3.58,4.0,4,2,1
15,199,8.0,0,3.42,3.69,2,2,1
16,199,8.0,0,4.17,3.85,2,2,0
16,196,8.0,0,3.64,2.85,4,2,0
15,196,8.0,0,3.3,3.69,2,2,1
15,195,8.0,0,3.41,3.85,2,2,1
16,194,6.0,0,3.69,3.31,2,2,1
13,193,8.0,0,3.66,4.0,2,2,1
16,192,8.0,0,3.38,3.77,2,2,1
15,190,8.0,0,3.43,3.23,2,2,1
16,190,8.0,0,3.44,3.38,2,2,1
12,190,8.0,0,3.31,4.0,2,2,1
16,187,8.0,0,3.35,3.85,2,2,1
16,187,8.0,0,2.75,3.85,2,2,1
17,185,8.0,0,3.49,3.62,2,2,1
13,185,8.0,0,3.64,4.0,2,2,1
14,185,8.0,0,3.61,3.08,2,2,0
15,185,6.0,0,4.2,3.92,2,2,0
12,182,8.0,0,3.07,3.46,2,2,1
12,181,8.0,0,4.15,4.0,2,2,0
12,181,8.0,0,3.79,4.0,2,2,1
17,180,8.0,0,3.33,3.08,2,2,1
15,177,8.0,0,3.38,3.69,2,2,1
16,176,8.0,0,3.98,3.62,2,2,1
11,174,-1.0,0,4.25,4.0,2,2,0
14,173,8.0,0,3.52,4.0,2,2,1
12,172,8.0,0,3.7,3.92,2,2,1
15,168,8.0,0,3.61,3.69,2,2,1
11,168,8.0,0,2.92,4.0,2,2,1
12,166,8.0,1,4.19,3.0,2,2,1
12,165,6.0,0,3.64,3.85,2,2,1
12,165,6.0,1,4.14,3.46,2,2,1
15,164,8.0,0,3.15,3.15,4,2,1
12,164,6.0,0,2.88,4.0,2,2,1
14,164,8.0,0,3.39,4.0,2,2,1
14,164,8.0,0,3.35,3.69,2,2,1
13,163,8.0,0,3.92,3.62,2,2,1
13,161,6.0,0,3.56,3.0,2,2,1
11,161,8.0,0,2.68,3.85,2,2,1
14,160,8.0,0,3.09,3.08,2,2,1
17,158,8.0,0,3.61,3.92,2,2,1
12,158,8.0,0,4.34,4.0,2,2,0
16,157,8.0,0,3.68,4.0,2,2,1
16,156,8.0,0,3.06,3.85,2,2,1
16,156,8.0,0,4.04,3.0,4,2,0
14,156,8.0,0,3.75,3.15,2,2,0
12,156,8.0,0,4.1,3.54,2,2,0
12,155,8.0,0,4.09,4.0,2,2,0
16,155,8.0,0,4.35,3.69,2,2,0
12,154,-1.0,0,4.1,4.0,2,2,0
16,153,8.0,0,3.35,3.85,2,2,1
16,153,8.0,0,3.24,3.69,2,2,1
12,152,6.0,0,4.34,3.69,2,2,0
16,152,-1.0,0,3.2,4.0,2,2,1
14,152,6.0,0,4.29,3.46,2,2,0
11,152,-1.0,0,2.36,3.62,2,2,1
16,151,8.0,0,3.18,3.54,2,2,1
16,151,-1.0,0,4.16,3.54,2,2,0
11,151,-1.0,0,2.62,3.85,2,2,1
16,150,8.0,0,3.18,3.69,2,2,1
10,150,8.0,0,2.77,4.0,2,2,1
15,149,-1.0,0,3.85,3.38,2,2,1
14,149,8.0,0,3.02,3.85,2,2,1
15,149,8.0,0,3.43,3.08,2,2,1
14,149,8.0,0,3.25,3.23,4,2,1
11,149,8.0,0,3.96,3.85,2,2,1
16,148,-1.0,0,3.25,3.31,2,2,1
15,148,-1.0,0,3.11,3.85,2,2,1
16,148,-1.0,0,4.2,3.85,2,2,0
16,148,8.0,0,3.29,3.92,2,2,1
14,148,8.0,0,4.38,3.69,2,2,0
13,146,8.0,0,3.56,3.31,4,2,1
12,146,8.0,1,3.41,3.77,2,2,1
14,145,8.0,0,4.48,3.92,2,2,0
14,146,8.0,0,4.07,3.62,2,2,0
15,145,8.0,0,2.79,3.0,2,2,1
16,144,-1.0,0,3.64,3.54,2,2,1
15,142,8.0,0,3.39,3.0,2,2,1
15,142,8.0,0,3.49,3.62,2,2,1
15,142,-1.0,1,2.0,3.69,2,2,1
10,141,6.0,0,4.44,3.54,2,2,0
13,141,8.0,0,4.42,3.38,2,2,0
14,140,8.0,0,3.7,3.08,2,2,0
17,139,8.0,0,3.78,0.0,6,2,0
14,139,-1.0,0,4.02,3.85,2,2,0
11,139,8.0,0,3.61,3.62,2,2,1
15,138,8.0,0,3.55,3.08,2,2,1
12,138,8.0,0,4.15,3.54,2,2,0
16,138,6.0,0,3.5,3.62,2,2,1
17,137,8.0,0,3.38,3.0,2,2,1
16,137,8.0,0,3.57,3.92,2,2,1
16,136,8.0,0,3.72,3.0,2,2,0
10,135,-1.0,0,3.62,4.0,2,2,1
14,134,8.0,0,2.85,3.85,2,2,1
16,132,8.0,0,3.69,2.85,4,2,0
12,133,8.0,0,4.08,4.0,2,2,0
12,131,8.0,0,4.31,3.0,4,2,0
15,131,8.0,0,3.49,4.0,2,2,1
15,131,8.0,0,3.42,3.46,2,2,1
11,130,6.0,0,3.7,3.08,2,2,1
17,130,8.0,0,3.27,4.0,2,2,1
12,130,8.0,0,4.2,3.85,2,2,0
11,130,8.0,0,4.19,4.0,2,2,0
13,130,8.0,0,4.36,3.85,2,2,0
16,130,8.0,0,4.16,3.92,2,2,0
11,130,8.0,0,4.27,3.62,2,2,0
14,130,-1.0,0,3.81,3.85,2,2,1
16,129,8.0,0,3.47,4.0,2,2,1
15,129,8.0,0,3.78,3.77,2,2,1
13,129,8.0,0,3.49,3.0,2,2,1
15,130,8.0,0,3.64,3.15,2,2,0
15,130,8.0,0,2.62,3.31,8,2,1
15,128,8.0,0,3.23,3.0,2,2,1
12,128,6.0,0,4.46,3.62,2,2,0
14,128,-1.0,0,2.94,4.0,2,2,1
15,127,8.0,0,3.09,3.15,2,2,1
12,125,-1.0,0,3.42,3.77,2,2,1
15,125,8.0,0,3.65,3.0,2,2,0
13,125,8.0,0,3.86,4.0,2,2,1
13,125,8.0,0,4.26,3.92,2,2,0
15,125,8.0,0,3.42,2.92,2,2,1
11,124,8.0,0,2.74,4.0,2,2,1
11,125,6.0,0,4.17,4.0,2,2,0
15,123,8.0,0,3.69,4.0,2,2,1
17,123,8.0,0,2.92,3.92,2,2,1
12,122,8.0,0,4.12,3.46,2,2,0
12,122,-1.0,0,3.34,3.77,2,2,1
14,123,8.0,0,4.5,3.54,4,2,0
14,123,8.0,0,3.39,3.69,2,2,1
11,121,8.0,0,4.09,3.54,2,2,0
15,121,6.0,0,3.46,3.54,2,2,1
13,121,8.0,0,4.09,3.92,2,2,0
13,120,8.0,0,3.67,3.08,2,2,0
17,120,8.0,0,3.31,4.0,2,2,1
11,119,8.0,0,3.81,3.85,2,2,1
11,119,6.0,0,4.18,3.92,2,2,0
16,119,8.0,0,4.03,3.92,2,2,0
14,118,8.0,0,3.28,3.46,8,2,1
15,118,8.0,0,3.1,4.0,4,2,1
11,118,6.0,0,3.02,3.77,2,2,1
10,118,8.0,0,4.07,3.77,2,2,0
14,118,8.0,0,3.81,4.0,2,2,1
12,117,-1.0,0,4.14,3.92,2,2,0
14,117,8.0,0,4.37,3.85,2,2,0
11,116,6.0,0,2.79,3.62,2,2,1
12,117,8.0,0,3.16,3.54,2,2,1
12,117,8.0,0,3.02,4.0,2,2,1
12,116,-1.0,0,4.39,3.92,2,2,0
16,115,-1.0,0,4.22,3.85,2,2,0
14,114,-1.0,0,3.2,3.38,2,2,1
11,114,8.0,0,4.38,3.23,2,2,0
12,114,-1.0,0,4.03,3.62,2,2,0
15,113,8.0,0,2.06,2.85,2,2,1
16,113,8.0,0,3.6,3.77,2,2,1
10,113,-1.0,0,3.63,4.0,2,2,1
15,112,8.0,0,3.59,3.85,2,2,1
16,112,8.0,0,3.4,3.0,2,2,1
15,112,8.0,0,3.37,3.08,2,2,1
14,111,8.0,0,3.27,3.23,4,2,1
14,112,8.0,0,3.54,3.31,2,2,1
13,112,8.0,0,3.94,3.62,4,2,1
15,111,8.0,0,3.55,3.85,2,2,1
14,112,8.0,0,3.54,3.69,4,2,1
12,112,8.0,0,4.32,4.0,2,2,0
12,110,8.0,0,4.27,3.15,2,2,0
14,110,8.0,0,3.11,3.46,4,2,1
14,108,8.0,0,4.06,4.0,2,2,0
13,108,-1.0,0,3.59,3.46,2,2,1
12,109,8.0,0,3.39,3.08,2,2,1
12,108,-1.0,0,3.39,3.77,2,2,1
12,108,8.0,0,4.37,4.0,2,2,0
12,107,6.0,0,3.68,3.46,2,2,1
12,106,-1.0,0,3.24,4.0,2,2,1
11,106,8.0,0,2.86,3.77,2,2,1
15,105,8.0,0,3.44,3.54,2,2,1
16,105,8.0,0,3.87,3.0,1,2,0
12,105,8.0,0,3.79,3.54,2,2,1
12,104,8.0,0,4.02,4.0,2,2,0
10,104,5.0,1,3.73,3.54,2,2,1
12,104,-1.0,0,2.86,4.0,2,2,1
11,103,-1.0,0,3.77,4.0,2,2,1
10,103,8.0,0,4.17,3.54,2,2,0
14,104,8.0,0,3.46,3.62,4,2,1
15,103,8.0,0,3.73,3.38,2,2,0
14,103,8.0,1,3.93,3.85,2,2,1
16,103,8.0,0,3.41,3.69,4,2,1
13,103,8.0,0,3.74,2.92,4,2,0
12,103,8.0,0,3.86,3.85,2,2,1
12,102,8.0,0,3.16,3.46,2,2,1
12,102,-1.0,0,3.79,3.85,2,2,1
12,102,8.0,0,3.84,3.69,2,2,1
12,102,8.0,0,3.84,3.69,2,2,1
11,102,8.0,0,4.36,3.77,2,2,0
12,102,8.0,0,4.38,3.69,2,2,0
14,102,6.0,0,3.5,4.0,2,2,1
14,102,8.0,0,3.27,3.46,4,2,1
15,102,8.0,0,3.65,3.0,2,2,0
11,102,8.0,0,4.25,4.0,2,2,0
14,102,8.0,0,3.11,3.62,2,2,1
12,101,8.0,0,4.01,3.62,2,2,0
15,102,8.0,0,3.21,3.23,4,2,1
12,102,8.0,0,4.25,4.0,2,2,0
14,101,8.0,0,3.42,3.0,2,2,1
14,100,8.0,0,3.34,3.62,2,2,1
10,100,8.0,0,3.67,3.92,2,2,1
15,100,8.0,0,3.73,3.0,2,2,0
15,101,8.0,0,3.85,3.85,2,2,1
14,101,8.0,0,3.63,3.0,2,2,0
14,101,8.0,0,3.54,3.46,2,2,1
14,101,8.0,0,4.0,3.23,4,2,0
11,100,8.0,0,3.03,3.92,2,2,1
11,100,8.0,0,4.09,4.0,2,2,0
11,100,-1.0,0,4.22,3.92,2,2,0
11,100,6.0,0,4.48,3.77,2,2,0
12,99,-1.0,0,2.7,3.77,2,2,1
11,99,8.0,0,4.28,4.0,2,2,0
10,99,8.0,0,4.48,3.62,2,2,0
12,99,-1.0,1,3.77,3.38,2,2,1
14,99,8.0,0,3.1,3.92,2,2,1
12,98,8.0,0,3.64,4.0,2,2,1
15,98,8.0,0,3.19,3.38,2,2,1
14,98,8.0,0,3.48,2.92,2,2,1
14,98,8.0,0,3.15,2.77,4,2,1
11,97,8.0,0,3.32,2.85,4,2,1
15,97,8.0,0,3.45,3.77,4,2,1
11,96,8.0,0,3.14,4.0,2,2,1
10,96,8.0,1,3.24,3.62,2,2,1
11,96,8.0,0,3.56,4.0,2,2,1
13,96,8.0,0,4.39,3.62,2,2,0
10,95,8.0,0,4.07,3.92,2,2,0
15,95,8.0,0,3.64,3.15,2,2,0
15,96,8.0,0,3.74,3.23,2,2,0
15,95,8.0,0,3.4,0.0,4,2,1
10,94,-1.0,0,3.36,3.23,2,2,1
13,92,8.0,0,2.98,3.23,4,2,1
15,92,7.0,0,3.3,3.77,2,2,1
14,91,8.0,0,3.59,2.92,2,2,1
14,90,8.0,0,3.02,2.77,4,2,1
10,90,8.0,0,3.51,4.0,2,2,1
16,90,8.0,0,3.66,3.46,2,2,0
11,91,8.0,0,3.69,3.15,2,2,1
11,95,-1.0,0,2.99,4.0,2,2,1
14,92,8.0,0,3.53,3.85,2,2,1
14,94,8.0,0,3.16,3.46,2,2,1
13,89,6.0,0,3.74,2.77,4,2,0
15,91,8.0,0,3.17,2.92,2,2,1
11,93,8.0,0,3.53,3.69,2,2,1
12,94,-1.0,0,3.33,4.0,2,2,1
12,88,8.0,0,3.04,4.0,2,2,1
13,93,6.0,0,3.43,3.77,2,2,1
13,87,8.0,0,2.5,3.0,4,2,1
11,87,8.0,0,3.05,3.85,2,2,1
14,87,-1.0,0,3.41,3.15,2,2,1
11,93,4.0,0,2.93,3.92,2,2,1
12,86,-1.0,0,3.59,4.0,2,2,1
16,86,8.0,0,3.66,3.31,2,2,0
11,93,-1.0,0,3.35,3.77,2,2,1
12,92,-1.0,0,4.04,3.46,2,2,0
12,90,6.0,0,3.7,3.85,2,2,1
11,86,8.0,0,2.84,3.54,2,2,1
14,86,8.0,0,3.35,3.54,2,2,1
12,90,8.0,0,2.88,3.62,2,2,1
13,84,6.0,0,3.53,3.92,2,2,1
12,90,8.0,0,3.6,3.77,2,2,1
10,91,-1.0,0,3.61,4.0,2,2,1
15,89,8.0,0,3.38,3.23,4,2,1
13,91,6.0,0,4.22,4.0,2,2,0
15,87,8.0,0,3.68,3.08,2,2,0
11,88,8.0,1,3.96,4.0,2,2,1
11,83,8.0,1,2.93,3.85,2,2,1
12,89,8.0,0,2.93,4.0,2,2,1
14,83,6.0,0,3.22,3.77,2,2,1
13,87,8.0,0,3.56,3.77,2,2,1
12,89,8.0,0,3.69,3.69,2,2,1
11,88,8.0,0,2.67,3.46,2,2,1
12,87,8.0,0,4.04,3.38,2,2,0
12,82,8.0,0,3.61,3.23,2,2,0
11,82,6.0,0,3.68,3.92,2,2,1
14,88,8.0,1,3.95,4.0,2,2,1
12,87,8.0,0,4.13,3.77,2,2,0
14,86,8.0,0,3.66,3.15,4,2,0
12,88,6.0,0,3.45,4.0,2,2,1
16,81,8.0,0,3.37,4.0,4,2,1
14,87,8.0,0,4.33,4.0,2,2,0
12,88,8.0,0,4.33,4.0,2,2,0
10,87,8.0,0,3.78,3.92,2,2,1
13,81,8.0,0,3.33,3.77,2,2,1
14,84,8.0,0,3.05,3.08,2,2,1
11,87,8.0,0,3.97,3.38,2,2,1
11,87,8.0,0,4.31,3.69,2,2,0
11,80,8.0,0,3.0,4.0,2,2,1
10,90,-1.0,0,4.4,3.31,2,2,0
11,80,8.0,0,3.66,3.62,2,2,1
12,84,8.0,0,4.35,4.0,2,2,0
16,80,8.0,0,4.16,3.54,2,2,0
12,91,8.0,0,4.23,4.0,2,2,0
12,79,-1.0,0,4.25,3.46,2,2,0
12,84,8.0,0,4.03,3.62,2,2,0
12,84,8.0,0,4.0,4.0,2,2,0
12,84,-1.0,0,3.82,4.0,2,2,1
13,82,8.0,0,3.58,3.46,2,2,1
14,83,8.0,0,3.0,3.08,4,2,1
12,82,8.0,0,2.61,3.85,2,2,1
10,84,-1.0,0,4.47,3.38,2,2,0
16,82,8.0,0,3.68,3.85,2,2,1
10,83,8.0,0,3.81,3.77,2,2,1
11,83,8.0,0,4.36,3.46,2,2,0
11,84,8.0,0,4.3,3.85,2,2,0
11,77,8.0,0,2.46,4.0,2,2,1
11,77,-1.0,1,3.98,3.92,2,2,1
11,77,8.0,0,4.45,3.23,2,2,0
10,84,8.0,0,4.14,3.38,2,2,0
14,77,8.0,0,3.0,0.0,4,2,1
10,76,8.0,0,4.29,3.69,2,2,0
13,76,8.0,0,3.3,4.0,2,2,1
12,76,8.0,0,3.98,3.92,2,2,1
12,76,-1.0,0,3.23,3.85,2,2,1
14,76,8.0,0,3.35,3.54,2,2,1
12,81,6.0,0,3.51,3.46,2,2,1
10,84,-1.0,0,3.41,4.0,2,2,1
12,80,8.0,0,3.78,3.77,2,2,1
12,82,-1.0,0,4.28,3.85,2,2,0
12,84,-1.0,0,3.32,3.85,2,2,1
13,81,8.0,0,3.74,3.46,2,2,1
14,79,8.0,0,3.39,3.0,2,2,1
11,90,8.0,0,2.48,3.38,2,2,1
12,75,8.0,0,2.84,2.69,4,2,1
11,80,6.0,0,4.2,4.0,2,2,0
11,80,8.0,0,3.59,4.0,2,2,1
14,79,8.0,0,3.45,2.92,2,2,1
15,74,8.0,0,2.56,3.85,4,2,1
11,84,8.0,1,3.84,3.85,2,2,1
13,79,8.0,0,3.61,3.54,2,2,1
14,78,8.0,0,3.34,3.46,2,2,1
11,80,6.0,0,2.71,3.46,2,2,1
11,79,8.0,0,3.94,3.62,2,2,1
10,80,-1.0,0,4.04,4.0,2,2,0
11,79,-1.0,0,2.91,3.85,2,2,1
10,80,8.0,0,3.06,3.92,2,2,1
10,81,8.0,0,3.74,4.0,2,2,1
14,73,8.0,0,3.39,3.38,4,2,1
13,78,8.0,0,3.71,3.77,2,2,1
10,78,-1.0,0,4.34,3.77,2,2,0
15,73,8.0,0,2.8,3.0,4,2,1
15,72,8.0,0,3.33,3.77,4,2,1
14,78,8.0,0,3.13,4.0,4,2,1
13,77,-1.0,0,4.1,3.38,2,2,0
10,77,8.0,0,4.13,3.92,2,2,0
13,76,8.0,0,3.59,3.0,2,2,1
12,79,8.0,0,4.24,3.77,2,2,0
11,71,8.0,0,3.34,3.77,2,2,1
12,77,8.0,0,3.93,3.69,2,2,1
11,77,6.0,0,4.27,3.85,2,2,0
13,76,8.0,0,4.16,3.85,2,2,0
11,77,6.0,0,3.34,3.77,2,2,1
12,76,-1.0,0,4.48,3.69,2,2,0
10,88,-1.0,0,3.85,4.0,2,2,1
11,75,8.0,0,3.56,3.85,2,2,1
11,76,6.0,0,2.84,3.62,2,2,1
11,74,8.0,0,4.3,3.77,2,2,0
12,76,-1.0,1,3.32,3.85,2,2,1
11,74,8.0,0,3.4,3.85,2,2,1
12,75,6.0,0,3.93,3.46,2,2,1
10,75,8.0,1,3.54,3.54,2,2,1
10,75,8.0,0,3.58,4.0,2,2,1
11,76,8.0,0,3.81,4.0,2,2,1
12,76,6.0,0,3.36,3.31,2,2,1
10,75,8.0,0,3.86,4.0,2,2,1
12,76,8.0,0,3.3,4.0,2,2,1
11,75,8.0,0,4.47,3.85,2,2,0
14,75,8.0,0,3.84,4.0,1,2,0
12,69,8.0,0,3.6,3.0,4,2,0
14,69,8.0,0,3.37,3.08,4,2,1
14,69,8.0,0,3.41,3.69,2,2,1
11,75,8.0,0,3.47,4.0,2,2,1
10,74,8.0,0,4.35,4.0,2,2,0
11,68,8.0,0,3.06,3.0,4,2,1
10,74,-1.0,0,3.46,3.54,2,2,1
15,68,8.0,0,3.51,3.46,2,2,1
12,73,8.0,0,3.4,3.46,2,2,1
11,73,8.0,0,4.02,3.54,2,2,0
12,74,8.0,0,3.35,3.77,2,2,1
11,73,6.0,0,4.28,3.69,2,2,0
13,67,6.0,0,3.37,3.0,4,2,1
11,72,8.0,0,4.21,3.77,2,2,0
11,84,-1.0,0,4.41,3.69,2,2,0
10,72,8.0,0,3.76,3.85,2,2,1
14,66,8.0,0,3.66,2.69,4,2,0
11,66,8.0,0,3.48,3.77,2,2,1
14,73,8.0,0,3.03,3.08,8,2,1
11,72,8.0,0,4.35,3.69,2,2,0
14,66,8.0,0,3.45,3.69,2,2,1
15,66,8.0,0,3.56,2.92,2,2,1
14,66,8.0,0,3.41,3.0,2,2,1
13,71,8.0,0,4.24,3.23,2,2,0
13,71,-1.0,0,4.26,3.85,2,2,0
11,71,8.0,1,3.88,3.54,2,2,1
10,72,8.0,0,2.81,3.77,2,2,1
13,72,8.0,0,3.31,3.46,2,2,1
12,72,8.0,0,4.41,3.62,2,2,0
12,69,8.0,0,4.17,3.69,2,2,0
14,65,8.0,0,3.57,3.46,2,2,1
11,68,8.0,0,3.33,3.69,2,2,1
10,70,8.0,0,3.82,4.0,2,2,1
11,64,8.0,0,3.56,3.0,4,2,1
12,69,8.0,0,3.44,3.38,2,2,1
10,69,8.0,0,3.55,3.31,2,2,1
11,69,-1.0,0,3.62,3.54,2,2,1
12,69,8.0,0,4.1,3.38,2,2,0
15,63,8.0,0,3.6,3.08,2,2,1
11,69,8.0,0,3.53,4.0,2,2,1
11,69,8.0,0,3.97,3.54,2,2,1
11,63,8.0,0,3.33,4.0,2,2,1
13,70,8.0,0,3.27,3.15,4,2,1
12,68,8.0,0,3.78,3.38,2,2,1
11,68,-1.0,0,3.38,3.77,2,2,1
11,69,4.0,0,3.61,4.0,2,2,1
11,62,8.0,0,3.28,3.85,2,2,1
10,68,-1.0,0,4.3,3.46,4,2,0
14,68,8.0,0,4.23,4.0,2,2,0
10,69,-1.0,0,4.0,3.92,2,2,0
11,67,8.0,0,2.25,3.23,2,2,1
12,67,8.0,0,3.83,3.77,2,2,1
11,61,6.0,0,3.27,3.77,4,2,1
11,66,8.0,0,3.71,3.85,2,2,1
10,66,-1.0,0,2.8,4.0,2,2,1
11,60,8.0,0,3.26,3.62,4,2,1
11,66,8.0,0,3.98,4.0,2,2,1
13,60,6.0,0,3.59,2.54,4,2,1
12,60,8.0,0,2.98,3.38,4,2,1
10,65,-1.0,0,4.03,3.31,2,2,0
